Study Name	CF3-Moar-Data
Sample Name	30kh-360C
Run Name	spot18
Operator	Mike Short
Date	6/2/2020
Time	16:15
Sign	FIX
Grating Spacing	06.40um
Channel	2
Number Traces	5000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	16:15:40
	
Time	Amplitude
0.000000E+0	-2.192646E-4
5.000000E-11	-3.665831E-4
1.000000E-10	-4.864934E-4
1.500000E-10	-6.098298E-4
2.000000E-10	-6.852020E-4
2.500000E-10	-6.886280E-4
3.000000E-10	-6.440899E-4
3.500000E-10	-5.824217E-4
4.000000E-10	-5.001974E-4
4.500000E-10	-4.008432E-4
5.000000E-10	-3.014889E-4
5.500000E-10	-2.398207E-4
6.000000E-10	-2.055606E-4
6.500000E-10	-1.781525E-4
7.000000E-10	-1.610225E-4
7.500000E-10	-1.815785E-4
8.000000E-10	-1.918566E-4
8.500000E-10	-1.884305E-4
9.000000E-10	-1.678745E-4
9.500000E-10	-9.250227E-5
1.000000E-9	5.824217E-5
1.050000E-9	2.124126E-4
1.100000E-9	3.357490E-4
1.150000E-9	4.625113E-4
1.200000E-9	6.098298E-4
1.250000E-9	7.263141E-4
1.300000E-9	7.811303E-4
1.350000E-9	7.982603E-4
1.400000E-9	7.777043E-4
1.450000E-9	6.886280E-4
1.500000E-9	5.481616E-4
1.550000E-9	3.871391E-4
1.600000E-9	1.952826E-4
1.650000E-9	-1.370404E-5
1.700000E-9	-1.850045E-4
1.750000E-9	-2.843588E-4
1.800000E-9	-3.357490E-4
1.850000E-9	-3.426010E-4
1.900000E-9	-2.946369E-4
1.950000E-9	-2.124126E-4
2.000000E-9	-9.592828E-5
2.050000E-9	2.055606E-5
2.100000E-9	1.062063E-4
2.150000E-9	1.884305E-4
2.200000E-9	2.775068E-4
2.250000E-9	3.151929E-4
2.300000E-9	3.014889E-4
2.350000E-9	2.775068E-4
2.400000E-9	2.672288E-4
2.450000E-9	2.295427E-4
2.500000E-9	1.610225E-4
2.550000E-9	8.565025E-5
2.600000E-9	2.740808E-5
2.650000E-9	1.713005E-5
2.700000E-9	4.111212E-5
2.750000E-9	4.796414E-5
2.800000E-9	3.083409E-5
2.850000E-9	3.426010E-5
2.900000E-9	3.426010E-5
2.950000E-9	3.083409E-5
3.000000E-9	1.370404E-5
3.050000E-9	-4.453813E-5
3.100000E-9	-8.222424E-5
3.150000E-9	-7.879823E-5
3.200000E-9	-1.130583E-4
3.250000E-9	-1.952826E-4
