id,age time,age temp, Peak Frequency (Hz), Frequency Error, Thermal Diffusivity (m2/s), Thermal Error, Tau1, Tau2, Tau3,binary peak split 
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot18-POS-1.txt,1500,290,3.44E+08,7.11E+03,3.99E-06,3.81E-08,2.44E-08,3.19E-08,2.51E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot19-POS-1.txt,1500,290,3.46E+08,8.68E+03,3.92E-06,3.43E-08,1.94E-08,3.17E-08,2.19E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot2-POS-1.txt,1500,290,3.49E+08,8.95E+03,3.76E-06,2.85E-08,1.62E-08,3.15E-08,1.69E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot20-POS-1.txt,1500,290,3.43E+08,3.46E+04,3.54E-06,7.36E-08,1.36E-08,3.19E-08,2.09E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot21-POS-1.txt,1500,290,3.46E+08,8.29E+03,4.16E-06,3.35E-08,2.13E-08,3.16E-08,2.25E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot22-POS-1.txt,1500,290,3.99E+08,3.50E+05,3.22E-06,6.95E-08,1.59E-09,2.75E-08,1.86E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot23-POS-1.txt,1500,290,4.05E+08,1.83E+04,3.83E-06,1.03E-07,1.78E-08,2.71E-08,2.70E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot24-POS-1.txt,1500,290,4.94E+08,1.97E+04,3.74E-06,9.43E-08,1.38E-08,2.22E-08,1.92E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot25-POS-1.txt,1500,290,4.91E+08,1.92E+04,3.80E-06,9.15E-08,1.36E-08,2.23E-08,1.70E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot26-POS-1.txt,1500,290,4.06E+08,1.23E+04,3.79E-06,4.66E-08,2.41E-08,2.70E-08,3.67E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot27-POS-1.txt,1500,290,4.94E+08,1.58E+04,3.56E-06,3.48E-08,1.32E-08,2.22E-08,1.67E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot28-POS-1.txt,1500,290,4.06E+08,2.49E+04,3.86E-06,4.30E-08,2.13E-08,2.70E-08,3.39E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot29-POS-1.txt,1500,290,4.76E+08,1.04E+04,3.38E-06,3.03E-08,1.49E-08,2.30E-08,1.62E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot3-POS-1.txt,1500,290,3.87E+08,5.12E+04,3.87E-06,2.65E-08,7.89E-09,2.83E-08,2.07E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot30-POS-1.txt,1500,290,4.04E+08,3.25E+04,3.88E-06,9.51E-08,1.58E-08,2.71E-08,2.69E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot31-POS-1.txt,1500,290,3.37E+08,1.72E+04,3.73E-06,3.38E-08,1.54E-08,3.26E-08,1.68E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot32-POS-1.txt,1500,290,3.39E+08,1.34E+04,3.63E-06,3.32E-08,1.77E-08,3.23E-08,1.89E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot33-POS-1.txt,1500,290,3.41E+08,1.12E+04,3.73E-06,3.42E-08,2.10E-08,3.21E-08,2.06E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot34-POS-1.txt,1500,290,3.69E+08,5.40E+03,3.97E-06,4.88E-08,1.93E-08,2.98E-08,2.02E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot35-POS-1.txt,1500,290,3.70E+08,3.64E+03,3.62E-06,5.35E-08,2.33E-08,2.96E-08,2.55E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot36-POS-1.txt,1500,290,3.95E+08,7.92E+03,3.43E-06,5.96E-08,1.29E-08,2.78E-08,1.39E-08,0
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot37-POS-1.txt,1500,290,3.97E+08,5.27E+03,3.46E-06,6.16E-08,1.89E-08,2.76E-08,2.21E-08,0
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot38-POS-1.txt,1500,290,4.91E+08,2.96E+04,3.73E-06,6.15E-08,7.74E-09,2.23E-08,1.01E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot39-POS-1.txt,1500,290,3.53E+08,4.23E+03,3.69E-06,6.43E-08,2.15E-08,3.11E-08,2.25E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot4-POS-1.txt,1500,290,3.87E+08,5.51E+03,3.39E-06,6.10E-08,1.72E-08,2.84E-08,1.90E-08,0
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot5-POS-1.txt,1500,290,3.89E+08,4.15E+04,3.83E-06,6.48E-08,1.13E-08,2.82E-08,1.81E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot6-POS-1.txt,1500,290,3.90E+08,5.07E+04,3.51E-06,6.78E-08,8.27E-09,2.81E-08,1.24E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot7-POS-1.txt,1500,290,3.80E+08,1.45E+05,3.74E-06,5.46E-08,2.82E-09,2.88E-08,5.20E-09,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot8-POS-1.txt,1500,290,3.52E+08,3.83E+03,3.41E-06,5.26E-08,1.90E-08,3.11E-08,1.95E-08,1
Analysis/CF3-Moar-Data-1.5kh-290C-06.40um-spot9-POS-1.txt,1500,290,4.59E+08,2.84E+05,3.54E-06,6.40E-08,1.59E-09,2.39E-08,9.10E-09,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot0-POS-1.txt,1500,330,3.84E+08,3.41E+05,3.98E-06,7.23E-08,1.59E-09,2.85E-08,7.40E-09,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot1-POS-1.txt,1500,330,3.81E+08,1.32E+04,4.17E-06,8.27E-08,1.82E-08,2.87E-08,1.92E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot10-POS-1.txt,1500,330,4.16E+08,7.35E+03,3.80E-06,1.01E-07,2.25E-08,2.64E-08,3.12E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot11-POS-1.txt,1500,330,4.64E+08,6.31E+03,4.02E-06,7.53E-08,1.77E-08,2.36E-08,1.91E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot12-POS-1.txt,1500,330,3.93E+08,1.68E+04,3.35E-06,2.95E-08,9.24E-09,2.79E-08,1.02E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot13-POS-1.txt,1500,330,3.90E+08,1.08E+04,3.55E-06,2.94E-08,1.38E-08,2.81E-08,1.43E-08,0
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot14-POS-1.txt,1500,330,3.90E+08,1.34E+04,3.36E-06,3.34E-08,1.42E-08,2.81E-08,1.37E-08,0
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot15-POS-1.txt,1500,330,3.94E+08,2.06E+04,3.47E-06,2.96E-08,8.51E-09,2.78E-08,9.26E-09,0
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot16-POS-1.txt,1500,330,3.97E+08,1.26E+04,3.55E-06,2.82E-08,9.44E-09,2.76E-08,1.03E-08,0
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot17-POS-1.txt,1500,330,3.95E+08,1.87E+04,3.68E-06,3.28E-08,9.72E-09,2.77E-08,1.09E-08,0
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot18-POS-1.txt,1500,330,3.98E+08,1.93E+04,3.58E-06,3.18E-08,9.05E-09,2.75E-08,9.77E-09,0
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot19-POS-1.txt,1500,330,4.00E+08,4.74E+03,4.04E-06,6.10E-08,1.82E-08,2.74E-08,1.94E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot2-POS-1.txt,1500,330,3.87E+08,2.07E+04,3.97E-06,3.51E-08,1.38E-08,2.83E-08,1.51E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot20-POS-1.txt,1500,330,4.03E+08,4.73E+03,4.02E-06,5.98E-08,1.80E-08,2.72E-08,1.99E-08,0
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot21-POS-1.txt,1500,330,4.03E+08,2.49E+05,3.61E-06,7.03E-08,1.88E-09,2.72E-08,1.38E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot22-POS-1.txt,1500,330,4.76E+08,3.02E+03,3.44E-06,5.30E-08,1.96E-08,2.30E-08,2.20E-08,0
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot23-POS-1.txt,1500,330,4.76E+08,3.98E+03,3.31E-06,6.76E-08,1.92E-08,2.30E-08,2.20E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot24-POS-1.txt,1500,330,3.33E+08,1.17E+04,3.52E-06,7.74E-08,1.98E-08,3.29E-08,2.02E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot25-POS-1.txt,1500,330,3.34E+08,4.89E+03,3.72E-06,8.41E-08,2.57E-08,3.28E-08,2.70E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot26-POS-1.txt,1500,330,3.35E+08,5.39E+03,3.78E-06,9.08E-08,2.49E-08,3.27E-08,2.68E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot27-POS-1.txt,1500,330,3.33E+08,4.39E+03,3.86E-06,3.98E-08,2.66E-08,3.29E-08,2.91E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot28-POS-1.txt,1500,330,3.33E+08,3.80E+03,3.58E-06,3.84E-08,2.96E-08,3.29E-08,3.21E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot29-POS-1.txt,1500,330,3.56E+08,2.25E+05,3.74E-06,3.86E-08,2.07E-09,3.08E-08,5.00E-09,-
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot3-POS-1.txt,1500,330,4.16E+08,7.98E+03,4.09E-06,7.73E-08,1.75E-08,2.64E-08,2.26E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot30-POS-1.txt,1500,330,4.16E+08,2.44E+04,3.50E-06,7.30E-08,1.99E-08,2.63E-08,3.22E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot31-POS-1.txt,1500,330,4.10E+08,3.75E+03,3.38E-06,6.13E-08,2.01E-08,2.67E-08,2.11E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot32-POS-1.txt,1500,330,4.11E+08,1.06E+04,3.66E-06,7.28E-08,1.15E-08,2.67E-08,1.15E-08,1
Analysis/CF3-Moar-Data-1.5kh-330C-06.40um-spot33-POS-1.txt,1500,330,4.16E+08,1.15E+04,3.74E-06,6.38E-08,1.09E-08,2.64E-08,1.13E-08,1
