Study Name	CF3-Moar-Data
Sample Name	Unaged
Run Name	spot29
Operator	Mike Short
Date	6/2/2020
Time	15:28
Sign	FIX
Grating Spacing	06.40um
Channel	2
Number Traces	5000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	15:28:46
	
Time	Amplitude
0.000000E+0	-2.398207E-4
5.000000E-11	-1.884305E-4
1.000000E-10	-1.301884E-4
1.500000E-10	-1.096323E-4
2.000000E-10	-9.935429E-5
2.500000E-10	-8.907626E-5
3.000000E-10	-9.250227E-5
3.500000E-10	-1.062063E-4
4.000000E-10	-1.096323E-4
4.500000E-10	-1.199103E-4
5.000000E-10	-1.507444E-4
5.500000E-10	-1.781525E-4
6.000000E-10	-2.226906E-4
6.500000E-10	-2.706548E-4
7.000000E-10	-2.946369E-4
7.500000E-10	-3.117669E-4
8.000000E-10	-3.288970E-4
8.500000E-10	-3.254709E-4
9.000000E-10	-3.117669E-4
9.500000E-10	-2.980629E-4
1.000000E-9	-2.638028E-4
1.050000E-9	-2.226906E-4
1.100000E-9	-2.055606E-4
1.150000E-9	-2.055606E-4
1.200000E-9	-1.850045E-4
1.250000E-9	-1.507444E-4
1.300000E-9	-1.336144E-4
1.350000E-9	-1.130583E-4
1.400000E-9	-8.565025E-5
1.450000E-9	-6.509419E-5
1.500000E-9	-3.083409E-5
1.550000E-9	-3.426010E-6
1.600000E-9	3.426010E-6
1.650000E-9	3.426010E-5
1.700000E-9	6.852020E-5
1.750000E-9	8.907626E-5
1.800000E-9	7.879823E-5
1.850000E-9	5.139015E-5
1.900000E-9	1.713005E-5
1.950000E-9	-2.055606E-5
2.000000E-9	-8.907626E-5
2.050000E-9	-2.089866E-4
2.100000E-9	-2.946369E-4
2.150000E-9	-3.254709E-4
2.200000E-9	-3.734351E-4
2.250000E-9	-4.213992E-4
2.300000E-9	-4.248252E-4
2.350000E-9	-4.042692E-4
2.400000E-9	-3.768611E-4
2.450000E-9	-3.323230E-4
2.500000E-9	-2.809328E-4
2.550000E-9	-2.466727E-4
2.600000E-9	-2.398207E-4
2.650000E-9	-2.363947E-4
2.700000E-9	-1.918566E-4
2.750000E-9	-1.267624E-4
2.800000E-9	-9.250227E-5
2.850000E-9	-6.166818E-5
2.900000E-9	-2.055606E-5
2.950000E-9	-3.426010E-6
3.000000E-9	4.111212E-5
3.050000E-9	1.267624E-4
3.100000E-9	1.884305E-4
3.150000E-9	1.884305E-4
3.200000E-9	1.918566E-4
3.250000E-9	1.918566E-4
3.300000E-9	1.370404E-4
3.350000E-9	5.481616E-5
