Study Name	CF3-Moar-Data
Sample Name	30kh-400C
Run Name	spot9
Operator	Mike Short
Date	6/2/2020
Time	16:27
Sign	FIX
Grating Spacing	06.40um
Channel	2
Number Traces	5000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	16:28:04
	
Time	Amplitude
0.000000E+0	-2.192646E-4
5.000000E-11	-2.843588E-4
1.000000E-10	-3.357490E-4
1.500000E-10	-3.563050E-4
2.000000E-10	-3.528790E-4
2.500000E-10	-3.391750E-4
3.000000E-10	-3.563050E-4
3.500000E-10	-3.837131E-4
4.000000E-10	-3.939911E-4
4.500000E-10	-3.665831E-4
5.000000E-10	-3.528790E-4
5.500000E-10	-3.768611E-4
6.000000E-10	-3.974172E-4
6.500000E-10	-4.076952E-4
7.000000E-10	-4.351033E-4
7.500000E-10	-4.625113E-4
8.000000E-10	-4.556593E-4
8.500000E-10	-4.282512E-4
9.000000E-10	-4.145472E-4
9.500000E-10	-3.974172E-4
1.000000E-9	-3.700091E-4
1.050000E-9	-3.323230E-4
1.100000E-9	-2.775068E-4
1.150000E-9	-2.021346E-4
1.200000E-9	-1.404664E-4
1.250000E-9	-9.592828E-5
1.300000E-9	-5.824217E-5
1.350000E-9	-3.768611E-5
1.400000E-9	-1.027803E-5
1.450000E-9	3.426010E-5
1.500000E-9	5.824217E-5
1.550000E-9	3.083409E-5
1.600000E-9	0.000000E+0
1.650000E-9	6.852020E-6
1.700000E-9	1.713005E-5
1.750000E-9	-6.852020E-6
1.800000E-9	-3.083409E-5
1.850000E-9	-3.768611E-5
1.900000E-9	-6.166818E-5
1.950000E-9	-7.194621E-5
2.000000E-9	-8.222424E-5
2.050000E-9	-1.233364E-4
2.100000E-9	-1.678745E-4
2.150000E-9	-1.815785E-4
2.200000E-9	-1.884305E-4
2.250000E-9	-2.124126E-4
2.300000E-9	-2.363947E-4
2.350000E-9	-2.535247E-4
2.400000E-9	-2.432467E-4
2.450000E-9	-2.158386E-4
2.500000E-9	-1.815785E-4
2.550000E-9	-1.610225E-4
2.600000E-9	-1.336144E-4
2.650000E-9	-9.250227E-5
2.700000E-9	-9.592828E-5
2.750000E-9	-1.336144E-4
2.800000E-9	-1.096323E-4
2.850000E-9	-5.139015E-5
2.900000E-9	-3.768611E-5
2.950000E-9	-7.879823E-5
3.000000E-9	-1.199103E-4
3.050000E-9	-1.301884E-4
3.100000E-9	-1.199103E-4
3.150000E-9	-1.164843E-4
3.200000E-9	-1.062063E-4
3.250000E-9	-7.194621E-5
3.300000E-9	-2.740808E-5
3.350000E-9	3.426010E-6
3.400000E-9	2.398207E-5
3.450000E-9	3.083409E-5
3.500000E-9	2.398207E-5
3.550000E-9	3.083409E-5
3.600000E-9	6.852020E-5
3.650000E-9	5.824217E-5
3.700000E-9	-3.426010E-6
3.750000E-9	-4.796414E-5
3.800000E-9	-1.062063E-4
3.850000E-9	-2.021346E-4
3.900000E-9	-2.672288E-4
3.950000E-9	-2.946369E-4
4.000000E-9	-3.391750E-4
4.050000E-9	-3.768611E-4
4.100000E-9	-3.837131E-4
4.150000E-9	-4.179732E-4
4.200000E-9	-4.213992E-4
4.250000E-9	-3.254709E-4
4.300000E-9	-2.432467E-4
4.350000E-9	-2.192646E-4
4.400000E-9	-1.850045E-4
4.450000E-9	-1.301884E-4
4.500000E-9	-1.233364E-4
4.550000E-9	-1.404664E-4
4.600000E-9	-1.678745E-4
4.650000E-9	-2.363947E-4
4.700000E-9	-3.254709E-4
4.750000E-9	-4.179732E-4
4.800000E-9	-5.001974E-4
4.850000E-9	-5.447356E-4
4.900000E-9	-5.652916E-4
4.950000E-9	-5.755697E-4
5.000000E-9	-5.652916E-4
5.050000E-9	-5.104755E-4
5.100000E-9	-4.145472E-4
5.150000E-9	-2.980629E-4
5.200000E-9	-1.952826E-4
5.250000E-9	-1.130583E-4
5.300000E-9	-3.426010E-5
5.350000E-9	2.055606E-5
5.400000E-9	1.713005E-5
5.450000E-9	6.852020E-6
5.500000E-9	0.000000E+0
5.550000E-9	-4.453813E-5
5.600000E-9	-9.592828E-5
5.650000E-9	-1.130583E-4
5.700000E-9	-1.473184E-4
5.750000E-9	-2.055606E-4
5.800000E-9	-1.884305E-4
5.850000E-9	-1.199103E-4
5.900000E-9	-8.565025E-5
5.950000E-9	-4.796414E-5
6.000000E-9	3.768611E-5
6.050000E-9	1.130583E-4
6.100000E-9	1.575965E-4
6.150000E-9	1.644485E-4
6.200000E-9	1.404664E-4
6.250000E-9	1.370404E-4
6.300000E-9	1.233364E-4
6.350000E-9	5.824217E-5
6.400000E-9	-3.426010E-6
6.450000E-9	-1.027803E-5
6.500000E-9	0.000000E+0
6.550000E-9	-2.055606E-5
6.600000E-9	0.000000E+0
6.650000E-9	4.796414E-5
6.700000E-9	8.907626E-5
6.750000E-9	1.404664E-4
6.800000E-9	1.781525E-4
6.850000E-9	1.713005E-4
6.900000E-9	1.473184E-4
6.950000E-9	1.130583E-4
7.000000E-9	5.824217E-5
7.050000E-9	-1.370404E-5
7.100000E-9	-1.027803E-4
7.150000E-9	-2.021346E-4
7.200000E-9	-3.049149E-4
7.250000E-9	-3.939911E-4
7.300000E-9	-4.213992E-4
7.350000E-9	-3.768611E-4
7.400000E-9	-3.288970E-4
7.450000E-9	-2.706548E-4
7.500000E-9	-1.644485E-4
7.550000E-9	-4.111212E-5
7.600000E-9	5.824217E-5
7.650000E-9	1.678745E-4
7.700000E-9	2.706548E-4
7.750000E-9	3.117669E-4
7.800000E-9	3.631571E-4
7.850000E-9	4.179732E-4
7.900000E-9	3.939911E-4
7.950000E-9	3.288970E-4
8.000000E-9	3.117669E-4
8.050000E-9	3.186189E-4
8.100000E-9	3.288970E-4
8.150000E-9	3.391750E-4
8.200000E-9	3.631571E-4
8.250000E-9	4.076952E-4
8.300000E-9	4.727894E-4
8.350000E-9	5.104755E-4
8.400000E-9	5.515876E-4
8.450000E-9	6.475159E-4
8.500000E-9	7.263141E-4
8.550000E-9	7.674262E-4
8.600000E-9	8.222424E-4
8.650000E-9	8.496505E-4
8.700000E-9	8.256684E-4
8.750000E-9	8.290944E-4
8.800000E-9	8.770585E-4
8.850000E-9	8.907626E-4
8.900000E-9	8.496505E-4
8.950000E-9	8.119644E-4
9.000000E-9	7.742782E-4
9.050000E-9	6.920540E-4
9.100000E-9	5.584396E-4
9.150000E-9	3.974172E-4
9.200000E-9	2.295427E-4
9.250000E-9	5.481616E-5
9.300000E-9	-1.575965E-4
9.350000E-9	-4.179732E-4
9.400000E-9	-6.475159E-4
9.450000E-9	-8.325204E-4
9.500000E-9	-1.014099E-3
9.550000E-9	-1.171695E-3
9.600000E-9	-1.257346E-3
9.650000E-9	-1.322440E-3
9.700000E-9	-1.418368E-3
9.750000E-9	-1.528000E-3
9.800000E-9	-1.644485E-3
9.850000E-9	-1.781525E-3
9.900000E-9	-1.939122E-3
9.950000E-9	-2.130978E-3
