Study Name	CF3-Moar-Data
Sample Name	30kh-290C
Run Name	spot8
Operator	Mike Short
Date	6/2/2020
Time	15:37
Sign	FIX
Grating Spacing	06.40um
Channel	2
Number Traces	5000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	15:37:36
	
Time	Amplitude
0.000000E+0	-5.824217E-5
5.000000E-11	0.000000E+0
1.000000E-10	3.083409E-5
1.500000E-10	1.370404E-5
2.000000E-10	6.852020E-6
2.500000E-10	2.740808E-5
3.000000E-10	-3.426010E-6
3.500000E-10	-5.824217E-5
4.000000E-10	-7.194621E-5
4.500000E-10	-9.250227E-5
5.000000E-10	-1.575965E-4
5.500000E-10	-2.158386E-4
6.000000E-10	-2.569507E-4
6.500000E-10	-2.946369E-4
7.000000E-10	-3.083409E-4
7.500000E-10	-3.151929E-4
8.000000E-10	-3.186189E-4
8.500000E-10	-3.186189E-4
9.000000E-10	-2.946369E-4
9.500000E-10	-2.500987E-4
1.000000E-9	-2.055606E-4
1.050000E-9	-1.610225E-4
1.100000E-9	-1.096323E-4
1.150000E-9	-5.481616E-5
1.200000E-9	3.426010E-6
1.250000E-9	5.481616E-5
1.300000E-9	9.250227E-5
1.350000E-9	1.062063E-4
1.400000E-9	9.592828E-5
1.450000E-9	8.565025E-5
1.500000E-9	1.027803E-4
1.550000E-9	1.027803E-4
1.600000E-9	7.194621E-5
1.650000E-9	6.166818E-5
1.700000E-9	6.852020E-5
1.750000E-9	6.852020E-5
1.800000E-9	5.824217E-5
1.850000E-9	7.537222E-5
1.900000E-9	1.130583E-4
1.950000E-9	1.438924E-4
2.000000E-9	1.815785E-4
2.050000E-9	2.329687E-4
2.100000E-9	2.603768E-4
2.150000E-9	2.706548E-4
2.200000E-9	2.740808E-4
2.250000E-9	2.432467E-4
2.300000E-9	1.850045E-4
2.350000E-9	1.404664E-4
2.400000E-9	8.565025E-5
2.450000E-9	-1.027803E-5
2.500000E-9	-8.222424E-5
2.550000E-9	-9.935429E-5
2.600000E-9	-1.096323E-4
2.650000E-9	-1.301884E-4
2.700000E-9	-1.336144E-4
2.750000E-9	-9.592828E-5
2.800000E-9	-2.740808E-5
2.850000E-9	4.453813E-5
2.900000E-9	1.164843E-4
2.950000E-9	1.987086E-4
3.000000E-9	2.809328E-4
3.050000E-9	3.631571E-4
3.100000E-9	4.145472E-4
3.150000E-9	4.316773E-4
3.200000E-9	4.316773E-4
3.250000E-9	4.453813E-4
3.300000E-9	4.556593E-4
3.350000E-9	4.488073E-4
3.400000E-9	4.248252E-4
3.450000E-9	3.494530E-4
3.500000E-9	2.603768E-4
3.550000E-9	2.089866E-4
3.600000E-9	1.575965E-4
3.650000E-9	9.250227E-5
3.700000E-9	5.481616E-5
3.750000E-9	3.426010E-6
3.800000E-9	-5.481616E-5
3.850000E-9	-5.481616E-5
3.900000E-9	-4.111212E-5
3.950000E-9	-7.537222E-5
4.000000E-9	-8.907626E-5
4.050000E-9	-6.166818E-5
4.100000E-9	-4.111212E-5
4.150000E-9	1.027803E-5
4.200000E-9	7.537222E-5
4.250000E-9	9.250227E-5
