Study Name	CF3-Moar-Data
Sample Name	10kh-360C
Run Name	spot19
Operator	Mike Short
Date	6/3/2020
Time	11:32
Sign	NEG
Grating Spacing	06.40um
Channel	2
Number Traces	5000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	11:32:58
	
Time	Amplitude
0.000000E+0	-1.062063E-4
5.000000E-11	-4.796414E-5
1.000000E-10	-3.426010E-6
1.500000E-10	6.166818E-5
2.000000E-10	1.027803E-4
2.500000E-10	9.592828E-5
3.000000E-10	9.935429E-5
3.500000E-10	1.336144E-4
4.000000E-10	1.404664E-4
4.500000E-10	9.592828E-5
5.000000E-10	4.796414E-5
5.500000E-10	-1.027803E-5
6.000000E-10	-9.592828E-5
6.500000E-10	-1.781525E-4
7.000000E-10	-2.432467E-4
7.500000E-10	-3.220449E-4
8.000000E-10	-4.316773E-4
8.500000E-10	-5.413096E-4
9.000000E-10	-6.303858E-4
9.500000E-10	-6.817760E-4
1.000000E-9	-6.989060E-4
1.050000E-9	-7.228881E-4
1.100000E-9	-7.571482E-4
1.150000E-9	-7.640002E-4
1.200000E-9	-7.537222E-4
1.250000E-9	-7.502962E-4
1.300000E-9	-7.263141E-4
1.350000E-9	-6.714979E-4
1.400000E-9	-6.303858E-4
1.450000E-9	-5.995517E-4
1.500000E-9	-5.481616E-4
1.550000E-9	-4.933454E-4
1.600000E-9	-4.488073E-4
1.650000E-9	-3.871391E-4
1.700000E-9	-3.254709E-4
1.750000E-9	-2.843588E-4
1.800000E-9	-2.329687E-4
1.850000E-9	-1.850045E-4
1.900000E-9	-1.747265E-4
1.950000E-9	-1.713005E-4
2.000000E-9	-1.575965E-4
2.050000E-9	-1.815785E-4
2.100000E-9	-2.295427E-4
2.150000E-9	-2.535247E-4
2.200000E-9	-2.638028E-4
2.250000E-9	-3.083409E-4
2.300000E-9	-3.494530E-4
2.350000E-9	-3.665831E-4
2.400000E-9	-3.700091E-4
2.450000E-9	-3.700091E-4
2.500000E-9	-3.734351E-4
2.550000E-9	-3.905651E-4
2.600000E-9	-4.179732E-4
2.650000E-9	-4.488073E-4
2.700000E-9	-4.933454E-4
2.750000E-9	-5.378836E-4
2.800000E-9	-5.858477E-4
2.850000E-9	-6.269598E-4
2.900000E-9	-6.577939E-4
2.950000E-9	-6.817760E-4
3.000000E-9	-6.886280E-4
3.050000E-9	-6.475159E-4
3.100000E-9	-5.755697E-4
3.150000E-9	-5.104755E-4
3.200000E-9	-4.316773E-4
3.250000E-9	-3.186189E-4
3.300000E-9	-2.158386E-4
3.350000E-9	-1.438924E-4
3.400000E-9	-8.222424E-5
3.450000E-9	-3.768611E-5
3.500000E-9	-3.426010E-5
3.550000E-9	-7.194621E-5
3.600000E-9	-1.438924E-4
3.650000E-9	-2.398207E-4
3.700000E-9	-3.186189E-4
3.750000E-9	-3.871391E-4
3.800000E-9	-4.864934E-4
3.850000E-9	-5.755697E-4
3.900000E-9	-6.132558E-4
3.950000E-9	-6.098298E-4
4.000000E-9	-5.995517E-4
4.050000E-9	-5.824217E-4
4.100000E-9	-5.481616E-4
4.150000E-9	-5.139015E-4
4.200000E-9	-4.693634E-4
4.250000E-9	-4.248252E-4
4.300000E-9	-3.768611E-4
4.350000E-9	-3.151929E-4
4.400000E-9	-2.775068E-4
4.450000E-9	-2.740808E-4
4.500000E-9	-2.740808E-4
4.550000E-9	-2.672288E-4
4.600000E-9	-2.740808E-4
4.650000E-9	-2.843588E-4
4.700000E-9	-2.946369E-4
4.750000E-9	-3.117669E-4
4.800000E-9	-3.426010E-4
4.850000E-9	-3.734351E-4
4.900000E-9	-4.076952E-4
4.950000E-9	-4.556593E-4
5.000000E-9	-5.001974E-4
5.050000E-9	-5.310315E-4
