Study Name	CF3-Moar-Data
Sample Name	30kh-290C
Run Name	spot0
Operator	Mike Short
Date	6/2/2020
Time	15:35
Sign	FIX
Grating Spacing	06.40um
Channel	2
Number Traces	5000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	15:35:17
	
Time	Amplitude
0.000000E+0	1.027803E-5
5.000000E-11	6.852020E-5
1.000000E-10	1.370404E-4
1.500000E-10	2.055606E-4
2.000000E-10	3.014889E-4
2.500000E-10	3.905651E-4
3.000000E-10	4.453813E-4
3.500000E-10	4.590853E-4
4.000000E-10	4.625113E-4
4.500000E-10	4.522333E-4
5.000000E-10	4.076952E-4
5.500000E-10	3.426010E-4
6.000000E-10	2.775068E-4
6.500000E-10	1.884305E-4
7.000000E-10	8.565025E-5
7.500000E-10	2.740808E-5
8.000000E-10	-3.426010E-6
8.500000E-10	-2.740808E-5
9.000000E-10	-3.768611E-5
9.500000E-10	0.000000E+0
1.000000E-9	7.194621E-5
1.050000E-9	1.507444E-4
1.100000E-9	2.192646E-4
1.150000E-9	2.638028E-4
1.200000E-9	3.083409E-4
1.250000E-9	3.426010E-4
1.300000E-9	3.700091E-4
1.350000E-9	3.700091E-4
1.400000E-9	3.460270E-4
1.450000E-9	2.877848E-4
1.500000E-9	2.192646E-4
1.550000E-9	1.678745E-4
1.600000E-9	1.370404E-4
1.650000E-9	1.233364E-4
1.700000E-9	1.267624E-4
1.750000E-9	1.370404E-4
1.800000E-9	1.233364E-4
1.850000E-9	1.301884E-4
1.900000E-9	1.747265E-4
1.950000E-9	1.952826E-4
2.000000E-9	1.713005E-4
2.050000E-9	1.473184E-4
2.100000E-9	1.164843E-4
2.150000E-9	5.481616E-5
2.200000E-9	-2.055606E-5
2.250000E-9	-9.935429E-5
2.300000E-9	-1.987086E-4
2.350000E-9	-2.912108E-4
2.400000E-9	-3.563050E-4
2.450000E-9	-4.179732E-4
2.500000E-9	-4.419553E-4
2.550000E-9	-4.351033E-4
2.600000E-9	-4.488073E-4
2.650000E-9	-4.830674E-4
2.700000E-9	-4.796414E-4
2.750000E-9	-4.727894E-4
2.800000E-9	-4.830674E-4
2.850000E-9	-4.830674E-4
2.900000E-9	-4.830674E-4
2.950000E-9	-4.727894E-4
3.000000E-9	-4.316773E-4
3.050000E-9	-3.631571E-4
3.100000E-9	-2.877848E-4
3.150000E-9	-2.295427E-4
3.200000E-9	-1.747265E-4
3.250000E-9	-9.250227E-5
3.300000E-9	-1.370404E-5
3.350000E-9	6.852020E-6
3.400000E-9	-1.370404E-5
3.450000E-9	-2.740808E-5
3.500000E-9	-7.537222E-5
3.550000E-9	-1.678745E-4
3.600000E-9	-2.638028E-4
3.650000E-9	-3.426010E-4
3.700000E-9	-4.282512E-4
3.750000E-9	-5.070495E-4
3.800000E-9	-5.378836E-4
3.850000E-9	-4.933454E-4
3.900000E-9	-4.008432E-4
3.950000E-9	-2.877848E-4
4.000000E-9	-1.644485E-4
4.050000E-9	-1.713005E-5
4.100000E-9	1.438924E-4
4.150000E-9	3.117669E-4
4.200000E-9	4.693634E-4
4.250000E-9	5.892737E-4
4.300000E-9	6.646459E-4
4.350000E-9	7.057580E-4
4.400000E-9	7.091841E-4
4.450000E-9	6.852020E-4
4.500000E-9	6.098298E-4
4.550000E-9	5.070495E-4
4.600000E-9	3.974172E-4
4.650000E-9	2.603768E-4
4.700000E-9	1.233364E-4
4.750000E-9	-6.852020E-6
