Study Name	CF3-Moar-Data
Sample Name	30kh-290C
Run Name	spot1
Operator	Mike Short
Date	6/2/2020
Time	15:35
Sign	FIX
Grating Spacing	06.40um
Channel	2
Number Traces	5000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	15:35:35
	
Time	Amplitude
0.000000E+0	1.987086E-4
5.000000E-11	2.363947E-4
1.000000E-10	2.535247E-4
1.500000E-10	2.569507E-4
2.000000E-10	2.466727E-4
2.500000E-10	2.226906E-4
3.000000E-10	1.438924E-4
3.500000E-10	2.740808E-5
4.000000E-10	-7.537222E-5
4.500000E-10	-1.438924E-4
5.000000E-10	-2.055606E-4
5.500000E-10	-2.946369E-4
6.000000E-10	-3.597310E-4
6.500000E-10	-3.837131E-4
7.000000E-10	-4.111212E-4
7.500000E-10	-4.453813E-4
8.000000E-10	-4.693634E-4
8.500000E-10	-4.727894E-4
9.000000E-10	-4.522333E-4
9.500000E-10	-4.693634E-4
1.000000E-9	-5.241795E-4
1.050000E-9	-5.789957E-4
1.100000E-9	-6.201078E-4
1.150000E-9	-6.543679E-4
1.200000E-9	-7.023320E-4
1.250000E-9	-7.468702E-4
1.300000E-9	-7.811303E-4
1.350000E-9	-8.153904E-4
1.400000E-9	-8.290944E-4
1.450000E-9	-8.016863E-4
1.500000E-9	-7.468702E-4
1.550000E-9	-6.886280E-4
1.600000E-9	-6.303858E-4
1.650000E-9	-5.789957E-4
1.700000E-9	-5.310315E-4
1.750000E-9	-4.933454E-4
1.800000E-9	-4.419553E-4
1.850000E-9	-3.768611E-4
1.900000E-9	-3.323230E-4
1.950000E-9	-3.151929E-4
2.000000E-9	-2.809328E-4
2.050000E-9	-2.261167E-4
2.100000E-9	-1.678745E-4
2.150000E-9	-1.027803E-4
2.200000E-9	-5.139015E-5
2.250000E-9	-1.713005E-5
2.300000E-9	1.027803E-5
2.350000E-9	4.111212E-5
2.400000E-9	7.537222E-5
2.450000E-9	1.096323E-4
2.500000E-9	1.199103E-4
2.550000E-9	8.222424E-5
2.600000E-9	4.111212E-5
2.650000E-9	1.027803E-5
2.700000E-9	-2.740808E-5
2.750000E-9	-9.250227E-5
2.800000E-9	-1.267624E-4
2.850000E-9	-1.301884E-4
2.900000E-9	-1.404664E-4
2.950000E-9	-1.336144E-4
3.000000E-9	-6.852020E-5
3.050000E-9	2.398207E-5
3.100000E-9	9.250227E-5
3.150000E-9	1.610225E-4
3.200000E-9	2.569507E-4
3.250000E-9	3.117669E-4
3.300000E-9	3.117669E-4
3.350000E-9	3.426010E-4
3.400000E-9	3.768611E-4
3.450000E-9	3.323230E-4
3.500000E-9	2.706548E-4
3.550000E-9	2.192646E-4
3.600000E-9	1.233364E-4
3.650000E-9	0.000000E+0
3.700000E-9	-7.879823E-5
3.750000E-9	-1.507444E-4
3.800000E-9	-2.226906E-4
3.850000E-9	-2.638028E-4
3.900000E-9	-2.706548E-4
3.950000E-9	-2.500987E-4
4.000000E-9	-2.124126E-4
4.050000E-9	-1.507444E-4
4.100000E-9	-9.250227E-5
4.150000E-9	-2.740808E-5
4.200000E-9	7.879823E-5
4.250000E-9	2.055606E-4
4.300000E-9	3.220449E-4
4.350000E-9	4.488073E-4
4.400000E-9	5.721437E-4
4.450000E-9	6.577939E-4
4.500000E-9	6.954800E-4
4.550000E-9	7.160361E-4
4.600000E-9	7.160361E-4
4.650000E-9	6.817760E-4
4.700000E-9	6.406639E-4
4.750000E-9	5.961257E-4
4.800000E-9	5.515876E-4
4.850000E-9	5.070495E-4
4.900000E-9	4.693634E-4
4.950000E-9	4.625113E-4
5.000000E-9	5.001974E-4
5.050000E-9	5.413096E-4
5.100000E-9	6.098298E-4
5.150000E-9	7.057580E-4
5.200000E-9	7.674262E-4
5.250000E-9	7.742782E-4
5.300000E-9	7.571482E-4
5.350000E-9	7.126101E-4
5.400000E-9	6.338118E-4
5.450000E-9	5.036235E-4
5.500000E-9	3.117669E-4
5.550000E-9	9.250227E-5
5.600000E-9	-7.537222E-5
5.650000E-9	-1.952826E-4
5.700000E-9	-2.809328E-4
5.750000E-9	-3.151929E-4
5.800000E-9	-3.014889E-4
5.850000E-9	-2.638028E-4
5.900000E-9	-1.713005E-4
5.950000E-9	-1.370404E-5
6.000000E-9	1.164843E-4
6.050000E-9	1.781525E-4
6.100000E-9	2.124126E-4
6.150000E-9	2.261167E-4
6.200000E-9	1.952826E-4
6.250000E-9	1.199103E-4
6.300000E-9	2.055606E-5
6.350000E-9	-1.062063E-4
6.400000E-9	-2.432467E-4
6.450000E-9	-3.563050E-4
6.500000E-9	-4.453813E-4
6.550000E-9	-4.933454E-4
6.600000E-9	-5.001974E-4
6.650000E-9	-4.522333E-4
6.700000E-9	-3.665831E-4
6.750000E-9	-2.535247E-4
6.800000E-9	-1.233364E-4
6.850000E-9	2.740808E-5
6.900000E-9	1.575965E-4
6.950000E-9	2.535247E-4
7.000000E-9	3.597310E-4
7.050000E-9	4.179732E-4
7.100000E-9	3.768611E-4
7.150000E-9	3.288970E-4
7.200000E-9	3.460270E-4
7.250000E-9	3.357490E-4
7.300000E-9	2.809328E-4
7.350000E-9	2.535247E-4
7.400000E-9	2.569507E-4
7.450000E-9	2.809328E-4
7.500000E-9	3.288970E-4
7.550000E-9	4.111212E-4
7.600000E-9	5.104755E-4
7.650000E-9	6.166818E-4
7.700000E-9	7.057580E-4
7.750000E-9	7.845563E-4
7.800000E-9	8.941886E-4
7.850000E-9	9.935429E-4
7.900000E-9	1.017525E-3
7.950000E-9	1.003821E-3
8.000000E-9	9.969689E-4
8.050000E-9	9.764128E-4
8.100000E-9	9.181707E-4
8.150000E-9	8.359464E-4
8.200000E-9	7.126101E-4
8.250000E-9	5.858477E-4
8.300000E-9	5.310315E-4
8.350000E-9	5.001974E-4
8.400000E-9	4.625113E-4
8.450000E-9	4.693634E-4
8.500000E-9	5.447356E-4
8.550000E-9	6.372378E-4
8.600000E-9	7.400181E-4
8.650000E-9	8.873366E-4
8.700000E-9	1.086045E-3
8.750000E-9	1.291606E-3
8.800000E-9	1.452628E-3
8.850000E-9	1.565687E-3
8.900000E-9	1.644485E-3
8.950000E-9	1.685597E-3
9.000000E-9	1.651337E-3
9.050000E-9	1.555409E-3
9.100000E-9	1.411516E-3
9.150000E-9	1.229938E-3
9.200000E-9	1.007247E-3
9.250000E-9	7.708522E-4
9.300000E-9	5.173275E-4
9.350000E-9	2.569507E-4
9.400000E-9	2.398207E-5
9.450000E-9	-2.363947E-4
9.500000E-9	-5.241795E-4
9.550000E-9	-7.537222E-4
9.600000E-9	-9.421527E-4
9.650000E-9	-1.164843E-3
9.700000E-9	-1.411516E-3
9.750000E-9	-1.702727E-3
9.800000E-9	-2.045328E-3
9.850000E-9	-2.405059E-3
9.900000E-9	-2.778494E-3
9.950000E-9	-3.162207E-3
1.000000E-8	-3.494530E-3
1.005000E-8	-3.686387E-3
1.010000E-8	-3.686387E-3
1.015000E-8	-3.384898E-3
1.020000E-8	-2.627750E-3
1.025000E-8	-1.377256E-3
1.030000E-8	3.905651E-4
1.035000E-8	2.785346E-3
1.040000E-8	5.865329E-3
1.045000E-8	9.544864E-3
1.050000E-8	1.380339E-2
1.055000E-8	1.857240E-2
1.060000E-8	2.368743E-2
1.065000E-8	2.901830E-2
1.070000E-8	3.450677E-2
1.075000E-8	3.998496E-2
1.080000E-8	4.530556E-2
1.085000E-8	5.037262E-2
1.090000E-8	5.512450E-2
1.095000E-8	5.948238E-2
1.100000E-8	6.345313E-2
1.105000E-8	6.706072E-2
1.110000E-8	7.025719E-2
1.115000E-8	7.303568E-2
1.120000E-8	7.547842E-2
1.125000E-8	7.761625E-2
1.130000E-8	7.940463E-2
1.135000E-8	8.091550E-2
1.140000E-8	8.222424E-2
1.145000E-8	8.328630E-2
1.150000E-8	8.404688E-2
1.155000E-8	8.458476E-2
1.160000E-8	8.491023E-2
1.165000E-8	8.496162E-2
1.170000E-8	8.478689E-2
1.175000E-8	8.442716E-2
1.180000E-8	8.384474E-2
1.185000E-8	8.305333E-2
1.190000E-8	8.214201E-2
1.195000E-8	8.112106E-2
1.200000E-8	7.999391E-2
1.205000E-8	7.887360E-2
1.210000E-8	7.777728E-2
1.215000E-8	7.665355E-2
1.220000E-8	7.557778E-2
1.225000E-8	7.465276E-2
1.230000E-8	7.381338E-2
1.235000E-8	7.302198E-2
1.240000E-8	7.237103E-2
1.245000E-8	7.182972E-2
1.250000E-8	7.130897E-2
1.255000E-8	7.086359E-2
1.260000E-8	7.049358E-2
1.265000E-8	7.006875E-2
1.270000E-8	6.956171E-2
1.275000E-8	6.903067E-2
1.280000E-8	6.845853E-2
1.285000E-8	6.784870E-2
1.290000E-8	6.724230E-2
1.295000E-8	6.663932E-2
1.300000E-8	6.599180E-2
1.305000E-8	6.535114E-2
1.310000E-8	6.482696E-2
1.315000E-8	6.442612E-2
1.320000E-8	6.410750E-2
1.325000E-8	6.388823E-2
1.330000E-8	6.384712E-2
1.335000E-8	6.398759E-2
1.340000E-8	6.424454E-2
1.345000E-8	6.462483E-2
1.350000E-8	6.516271E-2
1.355000E-8	6.580680E-2
1.360000E-8	6.650913E-2
1.365000E-8	6.730396E-2
1.370000E-8	6.816389E-2
1.375000E-8	6.903753E-2
1.380000E-8	6.989060E-2
1.385000E-8	7.069914E-2
1.390000E-8	7.144258E-2
1.395000E-8	7.213806E-2
1.400000E-8	7.276160E-2
1.405000E-8	7.331319E-2
1.410000E-8	7.380311E-2
1.415000E-8	7.423478E-2
1.420000E-8	7.461850E-2
1.425000E-8	7.495425E-2
1.430000E-8	7.525916E-2
1.435000E-8	7.556407E-2
1.440000E-8	7.584501E-2
1.445000E-8	7.608140E-2
1.450000E-8	7.629382E-2
1.455000E-8	7.648910E-2
1.460000E-8	7.660901E-2
1.465000E-8	7.663299E-2
1.470000E-8	7.657817E-2
1.475000E-8	7.643086E-2
1.480000E-8	7.617390E-2
1.485000E-8	7.581760E-2
1.490000E-8	7.536537E-2
1.495000E-8	7.481720E-2
1.500000E-8	7.422108E-2
1.505000E-8	7.353930E-2
1.510000E-8	7.277188E-2
1.515000E-8	7.198389E-2
1.520000E-8	7.119934E-2
1.525000E-8	7.040450E-2
1.530000E-8	6.962680E-2
1.535000E-8	6.885937E-2
1.540000E-8	6.806454E-2
1.545000E-8	6.728683E-2
1.550000E-8	6.661876E-2
1.555000E-8	6.606032E-2
1.560000E-8	6.554985E-2
1.565000E-8	6.508734E-2
1.570000E-8	6.469677E-2
1.575000E-8	6.437130E-2
1.580000E-8	6.410750E-2
1.585000E-8	6.389509E-2
1.590000E-8	6.371693E-2
1.595000E-8	6.360045E-2
1.600000E-8	6.350795E-2
1.605000E-8	6.341887E-2
1.610000E-8	6.337091E-2
1.615000E-8	6.339146E-2
1.620000E-8	6.346683E-2
1.625000E-8	6.361073E-2
1.630000E-8	6.382656E-2
1.635000E-8	6.409722E-2
1.640000E-8	6.443639E-2
1.645000E-8	6.488178E-2
1.650000E-8	6.542994E-2
1.655000E-8	6.602606E-2
1.660000E-8	6.664617E-2
1.665000E-8	6.732795E-2
1.670000E-8	6.805426E-2
1.675000E-8	6.881484E-2
1.680000E-8	6.954458E-2
1.685000E-8	7.017154E-2
1.690000E-8	7.070942E-2
1.695000E-8	7.123017E-2
1.700000E-8	7.168583E-2
1.705000E-8	7.202843E-2
1.710000E-8	7.228196E-2
1.715000E-8	7.248409E-2
1.720000E-8	7.264854E-2
1.725000E-8	7.277530E-2
1.730000E-8	7.285410E-2
1.735000E-8	7.289179E-2
1.740000E-8	7.294318E-2
1.745000E-8	7.300142E-2
1.750000E-8	7.300485E-2
1.755000E-8	7.296373E-2
1.760000E-8	7.291577E-2
1.765000E-8	7.281299E-2
1.770000E-8	7.259372E-2
1.775000E-8	7.229566E-2
1.780000E-8	7.197362E-2
1.785000E-8	7.158648E-2
1.790000E-8	7.108285E-2
1.795000E-8	7.050728E-2
1.800000E-8	6.994542E-2
1.805000E-8	6.935957E-2
1.810000E-8	6.872233E-2
1.815000E-8	6.808510E-2
1.820000E-8	6.748897E-2
1.825000E-8	6.690655E-2
1.830000E-8	6.633098E-2
1.835000E-8	6.575541E-2
1.840000E-8	6.521410E-2
1.845000E-8	6.469335E-2
1.850000E-8	6.415889E-2
1.855000E-8	6.362443E-2
1.860000E-8	6.315849E-2
1.865000E-8	6.276450E-2
1.870000E-8	6.240820E-2
1.875000E-8	6.208958E-2
1.880000E-8	6.184976E-2
1.885000E-8	6.167503E-2
1.890000E-8	6.156197E-2
1.895000E-8	6.151401E-2
1.900000E-8	6.152086E-2
1.905000E-8	6.158253E-2
1.910000E-8	6.169559E-2
1.915000E-8	6.187717E-2
1.920000E-8	6.213412E-2
1.925000E-8	6.242190E-2
1.930000E-8	6.274737E-2
1.935000E-8	6.315164E-2
1.940000E-8	6.358674E-2
1.945000E-8	6.401842E-2
1.950000E-8	6.448436E-2
1.955000E-8	6.499826E-2
1.960000E-8	6.553272E-2
1.965000E-8	6.603634E-2
1.970000E-8	6.653311E-2
1.975000E-8	6.708127E-2
1.980000E-8	6.764314E-2
1.985000E-8	6.816732E-2
