Study Name	CF3-Moar-Data
Sample Name	30kh-360C
Run Name	spot11
Operator	Mike Short
Date	6/2/2020
Time	16:12
Sign	FIX
Grating Spacing	06.40um
Channel	2
Number Traces	5000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	16:13:08
	
Time	Amplitude
0.000000E+0	2.226906E-4
5.000000E-11	2.912108E-4
1.000000E-10	3.117669E-4
1.500000E-10	3.083409E-4
2.000000E-10	3.014889E-4
2.500000E-10	2.672288E-4
3.000000E-10	1.987086E-4
3.500000E-10	9.935429E-5
4.000000E-10	-2.398207E-5
4.500000E-10	-1.267624E-4
5.000000E-10	-1.713005E-4
5.500000E-10	-2.295427E-4
6.000000E-10	-3.220449E-4
6.500000E-10	-3.597310E-4
7.000000E-10	-3.151929E-4
7.500000E-10	-2.775068E-4
8.000000E-10	-2.363947E-4
8.500000E-10	-1.610225E-4
9.000000E-10	-1.027803E-4
9.500000E-10	-5.481616E-5
1.000000E-9	3.426010E-6
1.050000E-9	5.481616E-5
1.100000E-9	1.096323E-4
1.150000E-9	1.850045E-4
1.200000E-9	2.363947E-4
1.250000E-9	2.329687E-4
1.300000E-9	2.295427E-4
1.350000E-9	2.500987E-4
1.400000E-9	2.603768E-4
1.450000E-9	2.363947E-4
1.500000E-9	1.884305E-4
1.550000E-9	1.404664E-4
1.600000E-9	8.222424E-5
1.650000E-9	6.852020E-6
1.700000E-9	-5.481616E-5
1.750000E-9	-1.096323E-4
1.800000E-9	-2.021346E-4
1.850000E-9	-2.946369E-4
1.900000E-9	-3.563050E-4
1.950000E-9	-3.939911E-4
2.000000E-9	-4.076952E-4
2.050000E-9	-4.042692E-4
2.100000E-9	-3.802871E-4
2.150000E-9	-3.357490E-4
2.200000E-9	-2.775068E-4
2.250000E-9	-2.192646E-4
2.300000E-9	-1.473184E-4
2.350000E-9	-7.879823E-5
2.400000E-9	-1.370404E-5
2.450000E-9	1.713005E-5
2.500000E-9	6.852020E-6
2.550000E-9	0.000000E+0
2.600000E-9	-3.426010E-5
2.650000E-9	-1.164843E-4
2.700000E-9	-1.850045E-4
2.750000E-9	-2.500987E-4
2.800000E-9	-3.460270E-4
2.850000E-9	-3.837131E-4
2.900000E-9	-3.357490E-4
2.950000E-9	-2.946369E-4
3.000000E-9	-2.466727E-4
3.050000E-9	-1.096323E-4
3.100000E-9	7.194621E-5
3.150000E-9	2.226906E-4
3.200000E-9	3.631571E-4
3.250000E-9	5.344575E-4
3.300000E-9	6.646459E-4
3.350000E-9	7.297401E-4
3.400000E-9	7.742782E-4
3.450000E-9	7.777043E-4
3.500000E-9	7.160361E-4
3.550000E-9	6.029777E-4
3.600000E-9	4.590853E-4
3.650000E-9	3.254709E-4
3.700000E-9	2.055606E-4
3.750000E-9	5.824217E-5
3.800000E-9	-1.164843E-4
3.850000E-9	-2.603768E-4
3.900000E-9	-3.597310E-4
3.950000E-9	-4.693634E-4
4.000000E-9	-5.378836E-4
4.050000E-9	-5.413096E-4
4.100000E-9	-5.618656E-4
4.150000E-9	-6.269598E-4
4.200000E-9	-6.886280E-4
4.250000E-9	-7.331661E-4
4.300000E-9	-7.811303E-4
4.350000E-9	-7.845563E-4
4.400000E-9	-7.434442E-4
4.450000E-9	-7.126101E-4
4.500000E-9	-6.989060E-4
4.550000E-9	-6.577939E-4
4.600000E-9	-5.789957E-4
4.650000E-9	-4.796414E-4
4.700000E-9	-3.871391E-4
4.750000E-9	-3.049149E-4
4.800000E-9	-2.192646E-4
